Cas,Taille texte,Taille motif,MP comparaisons,MP temps (s),BM comparaisons,BM temps (s),Ratio comparaisons (BM/MP),Ratio temps (BM/MP)
Meilleur cas MP,500000,50,625176,0.19032764434814453,259281,0.18593168258666992,0.4147328112403547,0.9769031883070355
Meilleur cas MP,500000,100,625456,0.22267937660217285,310325,0.23627591133117676,0.49615800312092295,1.0610587964474805
Meilleur cas MP,500000,200,625439,0.22119569778442383,310004,0.18213891983032227,0.495658249645449,0.8234288535206228
Meilleur cas MP,1000000,5,1248542,0.3567836284637451,584667,0.4072597026824951,0.4682798015605402,1.1414753093803438
Meilleur cas MP,1000000,10,1250488,0.3308389186859131,680463,0.5037331581115723,0.5441579607321302,1.5225934122635643
Meilleur cas MP,1000000,20,1250794,0.3065831661224365,713588,0.5652174949645996,0.5705080133099455,1.843602511231407
Meilleur cas MP,1000000,50,1250209,0.3530240058898926,543375,0.4191100597381592,0.4346273303103721,1.1871998865393836
Meilleur cas MP,1000000,100,1249298,0.3917231559753418,713781,0.5003468990325928,0.5713456677269955,1.2772972222864676
Meilleur cas MP,1000000,200,1248781,0.5323095321655273,712373,0.5960149765014648,0.5704547074306864,1.1196774442057664
Pire cas MP,1000,5,1000,0.0,4980,0.0029273033142089844,4.98,inf
Pire cas MP,1000,10,1000,0.0,9910,0.0019881725311279297,9.91,inf
Pire cas MP,1000,20,1000,0.0009965896606445312,19620,0.0039937496185302734,19.62,4.007416267942584
Pire cas MP,1000,50,1000,0.0,47550,0.021909236907958984,47.55,inf
Pire cas MP,1000,100,1000,0.0009975433349609375,90100,0.0339505672454834,90.1,34.034177820267686
Pire cas MP,1000,200,1000,0.0,160200,0.0478665828704834,160.2,inf
Pire cas MP,10000,5,10000,0.002992391586303711,49980,0.012965917587280273,4.998,4.332961517010597
Pire cas MP,10000,10,10000,0.002992868423461914,99910,0.022938251495361328,9.991,7.664303353779973
Pire cas MP,10000,20,10000,0.0029904842376708984,199620,0.04327559471130371,19.962,14.471099418002073
Pire cas MP,10000,50,10000,0.0029964447021484375,497550,0.1033170223236084,49.755,34.479869509866326
Pire cas MP,10000,100,10000,0.003032684326171875,990100,0.28435778617858887,99.01,93.76438679245283
Pire cas MP,10000,200,10000,0.009912967681884766,1960200,0.7178404331207275,196.02,72.41428159122613
Pire cas MP,100000,5,100000,0.04986381530761719,499980,0.18514370918273926,4.9998,3.7129872241135295
Pire cas MP,100000,10,100000,0.049915313720703125,999910,0.28235864639282227,9.9991,5.65675391669851
Pire cas MP,100000,20,100000,0.04094839096069336,1999620,0.9606857299804688,19.9962,23.460890829694325
Pire cas MP,100000,50,100000,0.059047698974609375,4997550,1.7040033340454102,49.9755,28.858081917436525
Pire cas MP,100000,100,100000,0.08377575874328613,9990100,3.722944974899292,99.901,44.43940622856671
Pire cas MP,100000,200,100000,0.05787205696105957,19960200,7.645439863204956,199.602,132.10935060333782
Pire cas MP,500000,5,500000,0.18608593940734863,2499980,0.8244211673736572,4.99996,4.430324881069979
Pire cas MP,500000,10,500000,0.2028334140777588,4999910,1.5599303245544434,9.99982,7.690696977355142
Pire cas MP,500000,20,500000,0.19798970222473145,9999620,2.6853299140930176,19.99924,13.562977689844647
Pire cas MP,500000,50,500000,0.28847312927246094,24997550,6.183973073959351,49.9951,21.436911956255827
Pire cas MP,500000,100,500000,0.16470694541931152,49990100,13.299161434173584,99.9802,80.74438755643565
Pire cas MP,500000,200,500000,0.16335606575012207,99960200,28.300055980682373,199.9204,173.24153743988674
Pire cas MP,1000000,5,1000000,0.40787816047668457,4999980,1.4321942329406738,4.99998,3.5113285576920266
Pire cas MP,1000000,10,1000000,0.43683958053588867,9999910,2.706768035888672,9.99991,6.196251796982707
Pire cas MP,1000000,20,1000000,0.42386817932128906,19999620,5.3975934982299805,19.99962,12.734132358963052
Pire cas MP,1000000,50,1000000,0.42383480072021484,49997550,13.448034524917603,49.99755,31.7294250072566
Pire cas MP,1000000,100,1000000,0.42386436462402344,99990100,26.52705430984497,99.9901,62.583827572707186
Pire cas MP,1000000,200,1000000,0.3730020523071289,199960200,57.77089858055115,199.9602,154.88091345133603
Meilleur cas BM,1000,5,1996,0.011968612670898438,996,0.0,0.49899799599198397,0.0
Meilleur cas BM,1000,10,1991,0.0009968280792236328,991,0.0,0.4977398292315419,0.0
Meilleur cas BM,1000,20,1981,0.001997709274291992,981,0.0009961128234863281,0.49520444220090865,0.4986275211839122
Meilleur cas BM,1000,50,1951,0.0010347366333007812,951,0.0009949207305908203,0.48744233726294206,0.9615207373271889
Meilleur cas BM,1000,100,1901,0.0,901,0.0,0.4739610731194108,
Meilleur cas BM,1000,200,1801,0.0009965896606445312,801,0.0,0.444752915047196,0.0
Meilleur cas BM,10000,5,19996,0.00398564338684082,9996,0.0069806575775146484,0.4998999799959992,1.7514506191302268
Meilleur cas BM,10000,10,19991,0.002992391586303711,9991,0.005984067916870117,0.499774898704417,1.9997609752210979
Meilleur cas BM,10000,20,19981,0.0049550533294677734,9981,0.004985809326171875,0.49952454832090487,1.006206996102584
Meilleur cas BM,10000,50,19951,0.003989219665527344,9951,0.005984067916870117,0.49877199137887823,1.5000597657183838
Meilleur cas BM,10000,100,19901,0.007979869842529297,9901,0.010971784591674805,0.4975126878046329,1.374932775619958
Meilleur cas BM,10000,200,19801,0.010970592498779297,9801,0.007977962493896484,0.4949750012625625,0.7272134567740253
Meilleur cas BM,100000,5,199996,0.08477306365966797,99996,0.09873676300048828,0.499989999799996,1.1647185879335367
